   Time (ps)    Forward (kJ/mol)           Time (ps)    Reverse (kJ/mol)
      50.0      28.558 +- 1.766                0.0      20.021 +- 0.727
     100.0      23.557 +- 1.414               50.0      17.915 +- 0.779
     150.0      21.252 +- 1.235              100.0      19.068 +- 0.830
     200.0      21.501 +- 1.105              150.0      20.277 +- 0.902
     250.0      20.140 +- 1.001              200.0      19.118 +- 0.968
     300.0      20.970 +- 0.911              250.0      19.417 +- 1.081
     350.0      19.996 +- 0.843              300.0      20.159 +- 1.191
     400.0      20.335 +- 0.796              350.0      19.515 +- 1.268
     450.0      20.610 +- 0.758              400.0      19.801 +- 1.437
     500.0      20.021 +- 0.727              450.0      17.342 +- 1.932
